id,name,organization,unique_id,award_method,deadline,publish_date,details_link
354,"„Възстановяване на  улични настилки по трасето на новоизграден водопровод в с. Брестовица, Община Родопи, по ул. “Васил Левски“, ул. “Цар Симеон I, ул. “Ангел войвода“",ВОДОСНАБДЯВАНЕ И КАНАЛИЗАЦИЯ ЕООД,00197-2024-0035,Открита процедура,2025-01-03,2024-12-10,https://app.eop.bg/today/448335
356,"Избор на доставчик на електрическа енергия и координатор на балансираща група за обекти на ниско напрежение за нуждите на Община Батак, второстепенните разпоредители с бюджет и структурните звена на територията на общината",ОБЩИНА БАТАК,00707-2024-0009,Открита процедура,2025-01-09,2024-12-10,https://app.eop.bg/today/448143
357,"„Упражняване на строителен надзор при изпълнение на обект: “ Изграждане на ул.“Палма“, гр.Перник“",ОБЩИНА ПЕРНИК,00589-2024-0055,Открита процедура,2025-01-06,2024-12-10,https://app.eop.bg/today/448136
358,"„Текущ ремонт, профилактика, доставка на резервни части и консумативи на комбиниран багер – товарач TEREX TLB990PS за срок от 24 месеца за нуждите на Териториално поделение „Държавно горско стопанство Гоце Делчев””","ТЕРИТОРИАЛНО ПОДЕЛЕНИЕ ""ДЪРЖАВНО ГОРСКО СТОПАНСТВО ГОЦЕ ДЕЛЧЕВ""",02724-2024-0124,Открита процедура,2025-01-13,2024-12-10,https://app.eop.bg/today/447937
359,"Доставка на компютърна и периферна техника, 3Д очила  и плотери“ за нуждите на ПГ ""Проф. д-р Асен Златаров"" по проектно предложение „Училищният СТЕМ център - инкубатор за успешни кариери“","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ""ПРОФ. Д-Р АСЕН ЗЛАТАРОВ""",02866-2024-0011,Открита процедура,2025-01-09,2024-12-10,https://app.eop.bg/today/447921
360,"""Доставка на електрическа енергия и избор на кординатор на балансираща група за нуждите на ТП "" Държавно горско стопанство Сандански"" за срок от 36 месеца""","ТЕРИТОРИАЛНО ПОДЕЛЕНИЕ ""ДЪРЖАВНО ГОРСКО СТОПАНСТВО САНДАНСКИ""",02724-2024-0123,Открита процедура,2025-01-11,2024-12-10,https://app.eop.bg/today/447808
361,"„Изготвяне на комплексен доклад относно оценка съответствието на инвестиционните проекти със съществените изисквания към строежите и упражняване на строителен надзор за строеж: Реконструкция на площадно пространство в УПИ XI, кв.20 по ПУП на с. Тенево, Община „Тунджа“.",ОБЩИНА ТУНДЖА,00689-2024-0054,Открита процедура,2025-01-09,2024-12-10,https://app.eop.bg/today/447780
362,"„Доставка на специализирано технологично оборудване по проект „Академичен иновационен хъб „Дигитализирани индустриални технологии“, за нуждите на ФиК Сливен по Договор № 24SL-IS009”",ТЕХНИЧЕСКИ УНИВЕРСИТЕТ,00193-2024-0125,Открита процедура,2025-01-09,2024-12-10,https://app.eop.bg/today/447587
363,"„Доставка на медицински изделия, консумативи и реактиви за нуждите на МБАЛ Христо Ботев АД гр. Враца”",МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ - ХРИСТО БОТЕВ АД,00399-2024-0018,Открита процедура,2025-01-08,2024-12-10,https://app.eop.bg/today/447486
364,„Доставка на продукти за наторяване“,ДОБРУДЖАНСКИ ЗЕМЕДЕЛСКИ ИНСТИТУТ,00507-2024-0016,Открита процедура,2025-01-14,2024-12-10,https://app.eop.bg/today/447366
365,"„Рамково споразумение за  извършване на консултантски услуги по реда на чл. 166, ал.1 от ЗУТ за оценяване на съответствието на инвестиционните проекти и упражняване на строителен надзор за обекти на територията на община Ветово“",ОБЩИНА ВЕТОВО,00645-2024-0014,Открита процедура,2025-01-08,2024-12-10,https://app.eop.bg/today/447220
366,"„Доставка, монтаж и въвеждане в експлоатация на Роботизирана хирургическа система с четири ръце от последно поколение, необходима за дейността на УМБАЛ Пловдив АД”",УНИВЕРСИТЕТСКА МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ - ПЛОВДИВ АД,00877-2024-0022,Открита процедура,2025-01-09,2024-12-10,https://app.eop.bg/today/446663
367,Определяне на оператор за предоставяне на ваучери за храна по Наредба № 7 от 9.07.2003 г. за служителите на УСБАЛЕ „Акад. Ив. Пенчев“ ЕАД,"УНИВЕРСИТЕТСКА СПЕЦИАЛИЗИРАНА  БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ ПО ЕНДОКРИНОЛОГИЯ ""АКАД. ИВ. ПЕНЧЕВ"" ЕАД",01150-2024-0006,Открита процедура,2025-01-15,2024-12-10,https://app.eop.bg/today/446636
368,„Абонаментно сервизно обслужване на медицинска апаратура за нуждите на УСБАЛО „проф. Иван Черноземски“ ЕАД,"УНИВЕРСИТЕТСКА СПЕЦИАЛИЗИРАНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ ПО ОНКОЛОГИЯ ""ПРОФ. ИВАН ЧЕРНОЗЕМСКИ"" ЕАД",00546-2024-0037,Открита процедура,2025-01-14,2024-12-10,https://app.eop.bg/today/446283
369,"Доставка на лекарства по смисъла на Закона за лекарствените продукти в хуманната медицина за нуждите на МБАЛ ”Югозападна болница“ ООД, гр.Сандански, по периодични заявки, в зависимост от нуждите на Възложителя, съгласно Спецификация","МБАЛ ""ЮГОЗАПАДНА БОЛНИЦА"" ООД",00998-2024-0002,Открита процедура,2025-01-06,2024-12-10,https://app.eop.bg/today/445864
370,„Доставка и монтаж на мебели по обособени позиции”,ОБЩИНА РАЗГРАД,00338-2024-0047,Открита процедура,2025-01-14,2024-12-10,https://app.eop.bg/today/445841
371,Доставка чрез покупка на фабрично нови автомобили за нуждите на Технически университет - София,ТЕХНИЧЕСКИ УНИВЕРСИТЕТ,00193-2024-0124,Открита процедура,2025-01-09,2024-12-10,https://app.eop.bg/today/445109
